mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170086,Vijay Baghel,Elected,23-05-2019,In Office,First Term,Durg,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,"B.Com. Educated at Chhattisgarh University, Raipur, Chhattisgarh",64,27,0,277,0.861313869, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170092,Sunil Kumar Soni,Elected,23-05-2019,In Office,First Term,Raipur,Chhattisgarh,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,62,29,0,158,0.96350365, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170090,Chunni Lal Sahu,Elected,23-05-2019,In Office,First Term,Mahasamund,Chhattisgarh,Bharatiya Janata Party,Male,Graduate,Graduate,55,40,0,128,0.886861314, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170084,Deepak Baij,Elected,23-05-2019,In Office,First Term,Bastar,Chhattisgarh,Indian National Congress,Male,Information Not Available,Information Not Available,42,37,0,301,0.846715328, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170088,Mohan Mandavi,Elected,23-05-2019,In Office,First Term,Kanker,Chhattisgarh,Bharatiya Janata Party,Male,Post Graduate,"M.A. (History) Educated at Government Post Graduate College, Kanker, Chhattisgarh",66,29,0,101,1, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170156,Vijay Kumar Hansdak,Elected,23-05-2019,In Office,Second Term,Rajmahal,Jharkhand,Jharkhand Mukti Morcha,Male,Under Matric,Matric,41,15,0,27,0.649635036, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,54.30769231,3.769230769,243.9038462,0.852699548,Lok Sabha
170153,Annpurna Devi,Elected,23-05-2019,In Office,First Term,Kodarma,Jharkhand,Bharatiya Janata Party,Female,Post Graduate,"Educated at Ranchi University, Jharkhand",54,31,0,97,0.789473684,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",24.43976303,0.294307337,77.08705717,0.788685748,25.30769231,0.769230769,93.15384615,0.852699548,Lok Sabha
170148,Chandra Prakash Choudhary,Elected,23-05-2019,In Office,First Term,Giridih,Jharkhand,AJSU Party,Male,Graduate,"B.Com, Educated at Ramgarh Mahavidyalaya, Ramgarh, Jharkhand",56,15,0,162,0.740875912, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,54.30769231,3.769230769,243.9038462,0.852699548,Lok Sabha
170146,Pashupati Nath Singh,Elected,23-05-2019,In Office,Third Term,Dhanbad,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc.,74,19,0,122,0.886861314, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,54.30769231,3.769230769,243.9038462,0.852699548,Lok Sabha
170157,Sanjay Seth,Elected,23-05-2019,In Office,First Term,Ranchi,Jharkhand,Bharatiya Janata Party,Male,Information not available,Information not available,64,77,0,211,0.868613139, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,54.30769231,3.769230769,243.9038462,0.852699548,Lok Sabha
