Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2387,Er. Devendra Singh,REWA,Sapaks Party,0,Graduate Professional,"Rs 2,66,57,062 ~ 2 Crore+",Rs 0 ~
2388,Er. Mahendra Pratap Singh Pal,GWALIOR,IND,1,Graduate,"Rs 69,42,765 ~ 69 Lacs+","Rs 18,98,900 ~ 18 Lacs+"
2389,Er. Pravin Gajbhiye (Dada),JABALPUR,IND,0,Graduate Professional,"Rs 26,000 ~ 26 Thou+",Rs 0 ~
2390,Er. Ram Kumar Soni,REWA,IND,0,Post Graduate,,
2391,Er. Ramchandra Mayappa Ghutukade,MADHA,New Rashtriya Samaj Party,0,Graduate Professional,"Rs 38,82,300 ~ 38 Lacs+",Rs 0 ~
2392,Er. Sanjay Pandit Bramhane,RAVER,Vanchit Bahujan Aaghadi,0,Others,"Rs 11,40,31,577 ~ 11 Crore+","Rs 2,56,87,435 ~ 2 Crore+"
2393,Er. Suraj Kushwah,MORENA,IND,0,Graduate Professional,"Rs 19,39,385 ~ 19 Lacs+",Rs 0 ~
2394,Erikilla Rajesh,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 9,19,808 ~ 9 Lacs+","Rs 7,48,010 ~ 7 Lacs+"
2395,Erra Suryam,BHONGIR,Viduthalai Chiruthaigal Katchi,0,10th Pass,,
2396,Erugurala Bhagyalaxmi,PEDDAPALLE (SC),Pyramid Party of India,0,Post Graduate,"Rs 2,35,500 ~ 2 Lacs+",Rs 0 ~
2397,Erukulla Raja Narsaiah,PEDDAPALLE (SC),BSP,0,Graduate,"Rs 29,86,000 ~ 29 Lacs+","Rs 34,00,000 ~ 34 Lacs+"
2398,Esai Mathivanan,TENKASI (SC),Naam Tamilar Katchi,9,Graduate Professional,"Rs 3,88,997 ~ 3 Lacs+","Rs 1,12,000 ~ 1 Lacs+"
2399,Esakkimuthu N,KANNIYAKUMARI,IND,0,12th Pass,"Rs 10,95,769 ~ 10 Lacs+","Rs 3,10,000 ~ 3 Lacs+"
2400,Esakkimuthu V,THOOTHUKKUDI,IND,1,8th Pass,,
2401,Eshwar Koppula,PEDDAPALLE (SC),BRS,0,Graduate,"Rs 5,22,60,760 ~ 5 Crore+","Rs 2,03,56,977 ~ 2 Crore+"
2402,Eshwara,DAVANAGERE,Uttama Prajaakeeya Party,0,Literate,"Rs 17,57,085 ~ 17 Lacs+","Rs 1,57,820 ~ 1 Lacs+"
2403,Eshwaran C,KRISHNAGIRI,IND,0,8th Pass,"Rs 16,37,737 ~ 16 Lacs+","Rs 14,89,600 ~ 14 Lacs+"
2404,Eswarasamy K,POLLACHI,IND,0,Others,"Rs 1,41,10,000 ~ 1 Crore+","Rs 7,90,000 ~ 7 Lacs+"
2405,Eswarasamy K,POLLACHI,DMK,1,10th Pass,,
2406,Ex-Assistant Commandant Ranpreet Singh Alias R. P. Singh,CHANDIGARH,IND,0,Post Graduate,"Rs 4,84,70,767 ~ 4 Crore+","Rs 4,94,186 ~ 4 Lacs+"
2407,Ezhil Arasu M,ARANI,IND,0,Post Graduate,"Rs 14,91,750 ~ 14 Lacs+",Rs 0 ~
2408,Ezhil Selvan P,NAMAKKAL,Tamilaga Makkal Thannurimai Katchi,0,Graduate Professional,"Rs 1,56,65,722 ~ 1 Crore+","Rs 1,20,00,000 ~ 1 Crore+"
2409,Ezhilarasan S,THANJAVUR,IND,0,10th Pass,"Rs 89,33,684 ~ 89 Lacs+",Rs 0 ~
2410,Ezhilarasi,SIVAGANGA,Naam Tamilar Katchi,0,Post Graduate,,
2411,Faggan Singh Kulaste,MANDLA (ST),BJP,0,Post Graduate,"Rs 5,35,26,381 ~ 5 Crore+","Rs 33,80,099 ~ 33 Lacs+"
2412,Fahim Shamim Khan,NAGPUR,Minorities Democratic Party,3,10th Pass,"Rs 75,000 ~ 75 Thou+",Rs 0 ~
2413,Fakira Md,RAIGANJ,IND,0,8th Pass,"Rs 88,447 ~ 88 Thou+",Rs 0 ~
2414,Fareed Salmani,FAIZABAD,IND,0,8th Pass,"Rs 11,16,000 ~ 11 Lacs+",Rs 0 ~
2415,Farid Quraishi,MAHASAMUND,Gondvana Gantantra Party,0,Graduate,,
2416,Farman,BIJNOR,Majloom Samaj Party,0,10th Pass,"Rs 92,77,000 ~ 92 Lacs+",Rs 0 ~
2417,Farooq Ahmad Bhat,BARAMULLA,National Youth Party,0,8th Pass,"Rs 1,51,99,500 ~ 1 Crore+",Rs 0 ~
2418,Faruk Khan,DHUBRI,IND,1,Graduate,"Rs 32,19,196 ~ 32 Lacs+","Rs 48,797 ~ 48 Thou+"
2419,Fauji Jai Kawar Tyagi (Dixit),GURGAON,IND,0,8th Pass,"Rs 1,13,39,76,242 ~ 113 Crore+",Rs 0 ~
2420,Fayaz Ahmad Butt,SRINAGAR,IND,0,8th Pass,,
2421,Fazal Hussain,ALWAR,BSP,1,Graduate Professional,"Rs 11,99,74,900 ~ 11 Crore+","Rs 4,87,94,900 ~ 4 Crore+"
2422,"Ferozkhan, A.",ARANI,IND,0,Post Graduate,"Rs 8,13,40,000 ~ 8 Crore+","Rs 17,80,00,000 ~ 17 Crore+"
2423,Firdous Ahmad Bhat,BARAMULLA,IND,0,Post Graduate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
2424,Firoj Khan,KHAJURAHO,IND,3,12th Pass,"Rs 75,61,086 ~ 75 Lacs+","Rs 1,27,000 ~ 1 Lacs+"
2425,Firoza Khatun,KOLKATA DAKSHIN,BSP,0,5th Pass,,
2426,Fogal Bansod,CHHINDWARA,Republican Party of India (A),0,5th Pass,"Rs 94,000 ~ 94 Thou+",Rs 0 ~
2427,Fojaram,JALORE,Indian Peoples Green Party,1,8th Pass,"Rs 11,96,440 ~ 11 Lacs+",Rs 0 ~
2428,Foji Angrej Singh Warwal,FIROZPUR,IND,1,Graduate,"Rs 49,45,000 ~ 49 Lacs+",Rs 0 ~
2429,Foji Vijay Haldkar (Ex-Army),JABALPUR,IND,0,Graduate,"Rs 75,12,000 ~ 75 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
2430,Fulachandr,JAUNPUR,Moulik Adhikar Party,0,8th Pass,,
2431,G Dhamodharan,ARANI,IND,0,5th Pass,"Rs 1,000 ~ 1 Thou+",Rs 0 ~
2432,G Jayram Das,JAMSHEDPUR,IND,0,Post Graduate,"Rs 30,54,276 ~ 30 Lacs+",Rs 0 ~
2433,G M Harish (Balayogi),AMALAPURAM (SC),TDP,0,Graduate Professional,"Rs 10,53,89,128 ~ 10 Crore+","Rs 1,99,712 ~ 1 Lacs+"
2434,G Mallesham Goud,CHEVELLA,IND,3,Post Graduate,"Rs 6,40,00,000 ~ 6 Crore+","Rs 10,00,000 ~ 10 Lacs+"
2435,G Mylsamy,ERODE,IND,0,10th Pass,,
2436,G N Ravi,CHIKKBALLAPUR,IND,0,Others,"Rs 80,52,000 ~ 80 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
2437,G N. Kodandareddy,CHIKKBALLAPUR,IND,0,Post Graduate,"Rs 4,06,00,000 ~ 4 Crore+","Rs 2,50,000 ~ 2 Lacs+"
2438,G Premkumar,SRIPERUMBUDUR,AIADMK,1,Post Graduate,"Rs 8,60,96,774 ~ 8 Crore+","Rs 50,35,763 ~ 50 Lacs+"
2439,G Ramkumar,SRIPERUMBUDUR,IND,0,Post Graduate,"Rs 23,07,737 ~ 23 Lacs+","Rs 12,81,012 ~ 12 Lacs+"
2440,G Selvaraj,RAMANATHAPURAM,Puthiya Makkal Tamil Desam Katchi,0,12th Pass,,
2441,G Shanmugam,VELLORE,IND,0,5th Pass,"Rs 40,49,000 ~ 40 Lacs+",Rs 0 ~
2442,G Subramani Shetty,CHIKKBALLAPUR,Karnataka Rashtra Samithi,0,12th Pass,"Rs 1,07,90,998 ~ 1 Crore+","Rs 85,000 ~ 85 Thou+"
2443,G Sudhakar,ARAKKONAM,IND,0,10th Pass,"Rs 1,27,583 ~ 1 Lacs+","Rs 1,73,419 ~ 1 Lacs+"
2444,G Thamizhvendan,PUDUCHERRY,AIADMK,1,Others,"Rs 2,50,42,000 ~ 2 Crore+","Rs 1,52,08,000 ~ 1 Crore+"
2445,G. Jayadeva,SHIMOGA,IND,0,10th Pass,,
2446,G. Kishan Reddy,SECUNDERABAD,BJP,0,Others,"Rs 19,22,41,721 ~ 19 Crore+","Rs 1,63,00,000 ~ 1 Crore+"
2447,G. Kumar Naik,RAICHUR (ST),INC,0,Graduate Professional,"Rs 33,41,28,505 ~ 33 Crore+","Rs 5,04,02,456 ~ 5 Crore+"
2448,G. Pichamuthu,CUDDALORE,IND,0,5th Pass,"Rs 12,56,045 ~ 12 Lacs+",Rs 0 ~
2449,G. Swamy,BELLARY (ST),Navabharath Sena,0,10th Pass,"Rs 15,30,000 ~ 15 Lacs+","Rs 1,40,000 ~ 1 Lacs+"
2450,G.A.N. Anand,VISAKHAPATNAM,IND,0,Graduate,,
2451,G.D.Rajagopal (H.D.Kote),CHAMARAJANAGAR (SC),IND,0,12th Pass,"Rs 1,83,000 ~ 1 Lacs+",Rs 0 ~
2452,G.M. Barkath Ali Basha,DAVANAGERE,IND,0,Illiterate,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~
2453,G.M. Gayitri,DAVANAGERE,IND,0,Literate,"Rs 6,76,000 ~ 6 Lacs+","Rs 40,000 ~ 40 Thou+"
2454,G.Malarvizhi,TIRUPPUR,Rashtriya Samaj Paksha,0,Others,"Rs 17,97,500 ~ 17 Lacs+","Rs 10,50,000 ~ 10 Lacs+"
2455,G.N.Venkatesh,CHIKKBALLAPUR,IND,0,Graduate Professional,,
2456,G.Omprakash,CHENNAI CENTRAL,IND,0,Graduate Professional,"Rs 5,89,000 ~ 5 Lacs+",Rs 0 ~
2457,G.S.Gayithri,DAVANAGERE,BJP,0,12th Pass,"Rs 67,80,77,100 ~ 67 Crore+","Rs 1,05,89,550 ~ 1 Crore+"
2458,G.V.Ramana Reddy,ANANTHAPUR,IND,1,12th Pass,"Rs 5,14,19,000 ~ 5 Crore+","Rs 6,40,000 ~ 6 Lacs+"
2459,Gadda Sathish,KARIMNAGAR,IND,0,Graduate,"Rs 2,21,500 ~ 2 Lacs+",Rs 0 ~
2460,Gaddam Chiranjeevi,WARANGAL (SC),IND,0,5th Pass,,
2461,Gaddam Harish Goud,HYDERABAD,Dharma Samaj Party,0,Graduate Professional,"Rs 3,32,500 ~ 3 Lacs+",Rs 0 ~
2462,Gaddam Maruthi,PEDDAPALLE (SC),IND,0,5th Pass,"Rs 2,53,224 ~ 2 Lacs+","Rs 1,03,000 ~ 1 Lacs+"
2463,Gaddam Vijay,NAGARKURNOOL (SC),Bahujan Mukti Party,1,Graduate,"Rs 10,10,000 ~ 10 Lacs+",Rs 0 ~
2464,Gadde Vijaya Lakshmi,BAPATLA (SC),IND,0,10th Pass,"Rs 15,000 ~ 15 Thou+",Rs 0 ~
2465,Gaddigoudar Parvatgouda Chandangouda,BAGALKOT,BJP,0,Graduate Professional,,
2466,Gade Sanjay Kondiba,SATARA,IND,1,12th Pass,"Rs 43,71,600 ~ 43 Lacs+","Rs 2,50,000 ~ 2 Lacs+"
2467,Gadila Anjaneyulu,MEDAK,IND,1,Graduate,"Rs 23,07,764 ~ 23 Lacs+",Rs 0 ~
2468,Gaffarkhan Jabbarkhan Pathan,BEED,IND,0,8th Pass,"Rs 7,24,000 ~ 7 Lacs+","Rs 80,000 ~ 80 Thou+"
2469,Gagan Prakash Yadav,VARANASI,Apna Dal (Kamerawadi),5,Graduate Professional,"Rs 1,09,41,817 ~ 1 Crore+","Rs 13,73,000 ~ 13 Lacs+"
2470,Gagandeep,AMRITSAR,IND,0,12th Pass,,
2471,Gaggera Venkata Ramanaiah,NANDYAL,IND,4,8th Pass,"Rs 93,00,000 ~ 93 Lacs+","Rs 81,82,000 ~ 81 Lacs+"
2472,Gaikwad Manjusha Sachin,RAMTEK (SC),Akhil Bhartiya Parivar Party,0,Graduate,"Rs 5,70,000 ~ 5 Lacs+","Rs 11,00,000 ~ 11 Lacs+"
2473,Gaikwad Niloba Changadeo,SHIRUR,IND,0,Graduate Professional,"Rs 39,63,245 ~ 39 Lacs+",Rs 0 ~
2474,Gaikwad Varsha Eknath,MUMBAI NORTH - CENTRAL,INC,7,Post Graduate,"Rs 7,68,48,656 ~ 7 Crore+","Rs 1,01,60,000 ~ 1 Crore+"
2475,Gajanan Dattaramji Dhumal,NANDED,IND,0,Graduate,,
2476,Gajanan Dhondba Dal,HINGOLI,BSP,0,Post Graduate,"Rs 71,00,000 ~ 71 Lacs+",Rs 0 ~
2477,Gajanan Janardan Dhande,BULDHANA,IND,0,12th Pass,"Rs 1,41,72,000 ~ 1 Crore+","Rs 1,13,000 ~ 1 Lacs+"
2478,Gajanan L. Pujari,CHIKKODI,IND,0,Graduate Professional,"Rs 71,97,879 ~ 71 Lacs+","Rs 13,00,501 ~ 13 Lacs+"
2479,Gajanan Tukaram Sonkamble,MUMBAI NORTH - WEST,IND,0,Graduate,"Rs 1,78,627 ~ 1 Lacs+",Rs 0 ~
2480,Gajanan Uttam Gawali (Patil),BARAMATI,IND,0,10th Pass,,
2481,Gajanand Kushwah,GUNA,IND,0,Post Graduate,"Rs 2,53,93,995 ~ 2 Crore+","Rs 2,98,400 ~ 2 Lacs+"
2482,Gajendra,CHITTORGARH,IND,0,5th Pass,"Rs 10,40,922 ~ 10 Lacs+",Rs 0 ~
2483,Gajendra Prasad Chaursiya,SARAN,Janhit Kisan Party,0,12th Pass,"Rs 14,50,000 ~ 14 Lacs+",Rs 0 ~
2484,Gajendra Singh,GWALIOR,IND,0,Graduate Professional,"Rs 1,39,70,776 ~ 1 Crore+","Rs 29,72,021 ~ 29 Lacs+"
2485,Gajendra Singh Patel,KHARGONE (ST),BJP,0,Graduate Professional,,
2486,Gajendra Singh Shekhawat,JODHPUR,BJP,0,Post Graduate,"Rs 19,30,27,658 ~ 19 Crore+","Rs 1,98,62,350 ~ 1 Crore+"
2487,"Gajendran, G.V.",ARANI,AIADMK,1,Graduate,"Rs 16,26,25,536 ~ 16 Crore+","Rs 6,48,27,493 ~ 6 Crore+"
2488,Gajjan Singh,ANANDPUR SAHIB,IND,2,10th Pass,"Rs 3,49,35,488 ~ 3 Crore+","Rs 54,89,014 ~ 54 Lacs+"
2489,Gajula Shalimiya,NANDYAL,Anna YSR Congress Party,0,5th Pass,"Rs 16,70,000 ~ 16 Lacs+",Rs 0 ~
2490,Gajula Soma Sekhar,NELLORE,Jai Bharat National Party,0,12th Pass,,
2491,Galimudi Geetha,NAGARKURNOOL (SC),IND,0,10th Pass,"Rs 11,84,500 ~ 11 Lacs+","Rs 50,000 ~ 50 Thou+"
2492,Galphade Arjun Bhagwanrao,AURANGABAD,Rashtriya Kisan Bahujan Party,1,Graduate,"Rs 1,04,00,000 ~ 1 Crore+","Rs 29,00,000 ~ 29 Lacs+"
2493,Ganapathi. Jagadeeswara Rao (Jagadeesh),VISAKHAPATNAM,Jai Maha Bharath Party,0,Post Graduate,"Rs 17,36,804 ~ 17 Lacs+",Rs 0 ~
2494,Ganapathy Rajkumar P,COIMBATORE,DMK,1,Doctorate,"Rs 89,03,97,608 ~ 89 Crore+","Rs 3,32,84,669 ~ 3 Crore+"
2495,Ganapati Hegde,UTTARA KANNADA,SUCI(C),0,10th Pass,,
2496,Ganapati Rathod (Hanjagi),BIJAPUR (SC),Karnataka Rashtra Samithi,1,Literate,"Rs 28,82,500 ~ 28 Lacs+","Rs 5,10,000 ~ 5 Lacs+"
2497,Ganauri Pandit,NAWADA,Peoples Party of India (Democratic),1,Doctorate,"Rs 21,57,974 ~ 21 Lacs+",Rs 0 ~
2498,Gandhi Dhanekula,MACHILIPATNAM,IND,0,10th Pass,"Rs 21,00,000 ~ 21 Lacs+","Rs 96,000 ~ 96 Thou+"
2499,Gandhimallar S M,THOOTHUKKUDI,IND,3,10th Pass,"Rs 12,13,500 ~ 12 Lacs+","Rs 20,000 ~ 20 Thou+"
2500,Gandikota Rajesh,VISAKHAPATNAM,Navataram Party,0,Graduate,,
2501,Ganesh,CHITRADURGA (SC),IND,0,Illiterate,"Rs 5,15,500 ~ 5 Lacs+",Rs 0 ~
2502,Ganesh Balasaheb Boraste,NASHIK,IND,1,Others,"Rs 56,60,100 ~ 56 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
2503,Ganesh Bhargavi Gunde,SECUNDERABAD,Jai Bharat National Party,0,Post Graduate,"Rs 97,600 ~ 97 Thou+","Rs 43,50,000 ~ 43 Lacs+"
2504,Ganesh Choudhary,JAMMU,Hindustan Shakti Sena,1,8th Pass,"Rs 7,70,000 ~ 7 Lacs+",Rs 0 ~
2505,Ganesh Godiyal,GARHWAL,INC,0,Graduate,,
2506,Ganesh Kumar Kushawaha,BANKA,Samata Party,1,Literate,"Rs 55,73,000 ~ 55 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
2507,"Ganesh Kumar, U.",ARANI,IND,0,Graduate Professional,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
2508,Ganesh Meena,TONK-SAWAI MADHOPUR,Indian Peoples Green Party,0,10th Pass,"Rs 3,54,000 ~ 3 Lacs+",Rs 0 ~
2509,Ganesh Nanaji Ramteke,AMRAVATI (SC),Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 17,65,870 ~ 17 Lacs+",Rs 0 ~
2510,Ganesh Ram,JHANSI,IND,0,Graduate,,
2511,Ganesh Ram Dhruw,MAHASAMUND,Hamar Raj Party,0,8th Pass,"Rs 4,15,593 ~ 4 Lacs+","Rs 1,00,000 ~ 1 Lacs+"
2512,Ganesh Ravi,PALAMU (SC),IND,0,12th Pass,"Rs 64,65,000 ~ 64 Lacs+","Rs 40,000 ~ 40 Thou+"
2513,Ganesh Singh,SATNA,BJP,3,Post Graduate,"Rs 9,46,81,128 ~ 9 Crore+","Rs 2,28,64,373 ~ 2 Crore+"
2514,Ganesh. B (Belli),SHIMOGA,IND,2,12th Pass,"Rs 1,04,63,055 ~ 1 Crore+","Rs 75,000 ~ 75 Thou+"
2515,Ganeshamoorthi A,NILGIRIS (SC),BSP,0,10th Pass,,
2516,Ganeshamoorthi G,VIRUDHUNAGAR,IND,0,Graduate Professional,"Rs 7,21,912 ~ 7 Lacs+","Rs 2,00,000 ~ 2 Lacs+"
2517,Ganeswara Rao Paramata,RAJAHMUNDRY,BSP,0,Post Graduate,"Rs 1,68,36,000 ~ 1 Crore+","Rs 39,00,000 ~ 39 Lacs+"
2518,Ganga Malviya,UJJAIN (SC),IND,0,5th Pass,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~
2519,Ganga Prasad Yadav,JHANJHARPUR,IND,1,8th Pass,"Rs 23,15,500 ~ 23 Lacs+",Rs 0 ~
2520,Ganga Ram Sharma,MORADABAD,Rashtriya Congress(J) Party,0,Graduate,,
2521,Gangadeen,LALGANJ (SC),CPI,0,8th Pass,"Rs 27,30,000 ~ 27 Lacs+",Rs 0 ~
2522,Gangadevi Mesram,ADILABAD (ST),Dharma Samaj Party,0,10th Pass,"Rs 43,90,000 ~ 43 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
2523,Gangadhar Badiger,HAVERI,SUCI(C),0,Graduate Professional,"Rs 80,260 ~ 80 Thou+",Rs 0 ~
2524,Gangadhar Bahujan,HASSAN,BSP,0,Post Graduate,"Rs 50,64,100 ~ 50 Lacs+","Rs 20,000 ~ 20 Thou+"
2525,Gangadhar Haribhau Kolekar,AHMEDNAGAR,IND,1,12th Pass,,
2526,Gangadhar Jal,KALAHANDI,IND,0,Graduate,"Rs 4,81,14,562 ~ 4 Crore+","Rs 20,00,000 ~ 20 Lacs+"
2527,Gangadhar Rajaram Kadam,SHIRDI (SC),IND,0,Graduate,"Rs 94,40,545 ~ 94 Lacs+","Rs 24,42,736 ~ 24 Lacs+"
2528,Gangireddy Koti Reddy,KHAMMAM,IND,0,Graduate,Nil,Rs 0 ~
2529,Ganipaka Pradeep,WARANGAL (SC),IND,0,Post Graduate,"Rs 21,000 ~ 21 Thou+",Rs 0 ~
2530,Ganji Purnima,NARSAPURAM,Republican Party of India (A),0,Graduate,,
2531,Gannarapu Ravinder,WARANGAL (SC),IND,0,12th Pass,"Rs 3,07,000 ~ 3 Lacs+","Rs 65,000 ~ 65 Thou+"
2532,Ganta Charitha Rao,NIZAMABAD,IND,0,Post Graduate,"Rs 25,70,000 ~ 25 Lacs+",Rs 0 ~
2533,Gantlavelli Rakesh,MAHBUBNAGAR,Dharma Samaj Party,0,Post Graduate,"Rs 3,61,000 ~ 3 Lacs+",Rs 0 ~
2534,Gara Surya Rao,ANAKAPALLE,IND,0,Post Graduate,"Rs 81,50,000 ~ 81 Lacs+",Rs 0 ~
2535,Garib Dass Katoch,HAMIRPUR,IND,0,12th Pass,,
2536,Garjan Mashahary,KOKRAJHAR (ST),INC,0,12th Pass,"Rs 18,52,090 ~ 18 Lacs+",Rs 0 ~
2537,Garlapati Subhash Prem,NARSARAOPET,Revolutionary Socialist Party,0,Post Graduate,"Rs 77,812 ~ 77 Thou+",Rs 0 ~
2538,Garnepudi Alexander Sudhakar,NARSARAOPET,INC,0,Graduate Professional,"Rs 1,76,61,990 ~ 1 Crore+","Rs 77,80,000 ~ 77 Lacs+"
2539,Garudadri Anand Kumar,NAGPUR,Akhil Bhartiya Parivar Party,0,Graduate,"Rs 88,65,556 ~ 88 Lacs+","Rs 66,08,599 ~ 66 Lacs+"
2540,Gattaiah Yadav Barige,KARIMNAGAR,IND,0,10th Pass,,
2541,Gaubhagat Sumit Lather,SONIPAT,IND,2,Post Graduate,"Rs 2,18,60,500 ~ 2 Crore+","Rs 3,80,000 ~ 3 Lacs+"
2542,Gaurav Gogoi,JORHAT,INC,1,Post Graduate,"Rs 4,90,61,120 ~ 4 Crore+",Rs 0 ~
2543,Gaurav Verma,LUCKNOW,Hindu Samaj Party,1,Graduate,"Rs 48,20,779 ~ 48 Lacs+",Rs 0 ~
2544,Gauri Sankar Sarania,KOKRAJHAR (ST),AITC,0,Graduate,"Rs 83,08,494 ~ 83 Lacs+",Rs 0 ~
2545,Gauri Shankar Sahu,JHANJHARPUR,IND,0,Graduate,,
2546,Gautam Alias Ananta Ramdas Ingale,AMRAVATI (SC),IND,0,8th Pass,"Rs 2,02,50,390 ~ 2 Crore+","Rs 12,33,000 ~ 12 Lacs+"
2547,Gautam Anand,SOUTH DELHI,All India Forward Bloc,0,Post Graduate,"Rs 1,68,40,100 ~ 1 Crore+","Rs 21,50,000 ~ 21 Lacs+"
2548,Gautam Kisanrao Maghade,BULDHANA,BSP,0,Graduate,"Rs 1,11,39,500 ~ 1 Crore+","Rs 7,70,000 ~ 7 Lacs+"
2549,Gautam Kumar Babloo,NAWADA,Bhagidari Party(P),0,Graduate,"Rs 43,96,138 ~ 43 Lacs+",Rs 0 ~
2550,Gavade Macchindra Radhakisan,AHMEDNAGAR,IND,0,8th Pass,,
2551,Gavvala Laxmi,KARIMNAGAR,IND,0,Post Graduate,"Rs 18,19,000 ~ 18 Lacs+","Rs 1,60,000 ~ 1 Lacs+"
2552,Gawali Pravin Shivaji,KALYAN,Apni Prajahit Party,0,8th Pass,"Rs 1,00,000 ~ 1 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
2553,Gaya Prasad,BANSGAON (SC),IND,1,10th Pass,"Rs 17,66,450 ~ 17 Lacs+",Rs 0 ~
2554,Gayatri Audhipudi,GUNTUR,IND,0,Graduate,"Rs 1,71,20,000 ~ 1 Crore+",Rs 0 ~
2555,Gedala Laxmana Rao,NARSAPURAM,IND,0,10th Pass,,
2556,Gedam Sagar,ADILABAD (ST),India Praja Bandhu Party,0,Graduate,"Rs 49,87,000 ~ 49 Lacs+","Rs 25,50,000 ~ 25 Lacs+"
2557,Gediya Krushanavadan Hariprasadbhai,SURENDRANAGAR,IND,0,12th Pass,"Rs 9,35,105 ~ 9 Lacs+",Rs 0 ~
2558,Geeta Devi,PRATAPGARH,Bhartiya Lokmat Rashtrwadi Party,0,8th Pass,"Rs 9,40,000 ~ 9 Lacs+",Rs 0 ~
2559,Geeta Kora,SINGHBHUM (ST),BJP,1,Graduate Professional,"Rs 4,12,45,715 ~ 4 Crore+","Rs 62,32,289 ~ 62 Lacs+"
2560,Geeta M,KANNIYAKUMARI,Thakkam Katchi,0,Graduate,,
2561,Geeta Rani Sharma,ALLAHABAD,IND,0,Graduate Professional,"Rs 5,21,29,233 ~ 5 Crore+","Rs 6,10,000 ~ 6 Lacs+"
2562,Geetha Shivarajkumar,SHIMOGA,INC,0,Graduate,"Rs 89,06,19,314 ~ 89 Crore+","Rs 25,11,87,562 ~ 25 Crore+"
2563,Gejja Ram,FATEHGARH SAHIB (SC),BJP,0,10th Pass,"Rs 1,19,27,482 ~ 1 Crore+","Rs 6,00,000 ~ 6 Lacs+"
2564,Geniben Nagaji Thakor,BANASKANTHA,INC,1,Graduate,"Rs 85,33,965 ~ 85 Lacs+","Rs 6,27,886 ~ 6 Lacs+"
2565,Ghagha Masihullah Abdulhamid,PATAN,Social Democratic Party Of India,1,Literate,,
2566,Ghana Kanta Chutia,LAKHIMPUR,AITC,0,Post Graduate,"Rs 1,91,72,000 ~ 1 Crore+","Rs 10,59,000 ~ 10 Lacs+"
2567,Ghanshyam Alias Sadhelal Bhardwaj,BILASPUR,IND,0,12th Pass,"Rs 2,68,23,000 ~ 2 Crore+","Rs 84,00,000 ~ 84 Lacs+"
2568,Ghanshyam Prasad Singh,NALANDA,IND,0,Doctorate,"Rs 89,15,158 ~ 89 Lacs+","Rs 45,503 ~ 45 Thou+"
2569,Ghanshyam Singh,HATHRAS (SC),Swaraj Bhartiya Nyay Party,0,Post Graduate,"Rs 1,00,08,000 ~ 1 Crore+","Rs 5,40,000 ~ 5 Lacs+"
2570,Ghanshyam Singh,RAJSAMAND,Bhartiya Jan Adhikar Party,0,Graduate,,
2571,Ghanshyam Singh Lodhi,RAMPUR,BJP,0,Others,"Rs 3,30,08,926 ~ 3 Crore+","Rs 8,46,397 ~ 8 Lacs+"
2572,Ghazi Saaduddin Zaheer Ahmed,AMRAVATI (SC),Rashtriya Ulama Council,1,12th Pass,"Rs 1,11,00,000 ~ 1 Crore+","Rs 2,80,000 ~ 2 Lacs+"
2573,Ghuge Nitin Pundlik,AURANGABAD,IND,0,Graduate,"Rs 50,000 ~ 50 Thou+",Rs 0 ~
2574,Ghugha Alarakhabhai Ishakbhai,JAMNAGAR,IND,0,Illiterate,"Rs 2,51,100 ~ 2 Lacs+",Rs 0 ~
2575,Ghulam Mohammad Wani,SRINAGAR,IND,0,12th Pass,,
2576,Ghulam Mohd Saroori,UDHAMPUR,IND,0,10th Pass,"Rs 6,76,06,025 ~ 6 Crore+","Rs 30,00,000 ~ 30 Lacs+"
2577,Ghur Singh Sallam,MANDLA (ST),IND,0,5th Pass,"Rs 52,73,000 ~ 52 Lacs+","Rs 2,10,000 ~ 2 Lacs+"
2578,Giddi Jnana Prakasarao,AMALAPURAM (SC),Republican Party of India,0,Graduate Professional,"Rs 15,06,800 ~ 15 Lacs+",Rs 0 ~
2579,Gidugu Rudraraju,RAJAHMUNDRY,INC,1,Post Graduate,"Rs 3,53,94,877 ~ 3 Crore+","Rs 93,41,000 ~ 93 Lacs+"
2580,Giran Singh,KHAJURAHO,Bhartiya Shakti Chetna Party,0,Not Given,,
2581,Giridhar Sapera,GAYA (SC),The National Road Map Party of India,0,12th Pass,"Rs 86,19,570 ~ 86 Lacs+",Rs 0 ~
2582,Giridhari Yadav,BANKA,JD(U),0,Post Graduate,"Rs 1,72,81,101 ~ 1 Crore+","Rs 56,95,769 ~ 56 Lacs+"
