Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
67,Abbagoni Ashok Goud,NIZAMABAD,Bahujana Left Party,0,Post Graduate,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~
68,Abbavaram Ugendra,RAJAMPET,BSP,0,10th Pass,"Rs 72,500 ~ 72 Thou+",Rs 0 ~
69,Abdhesh Kumar Roy,BEGUSARAI,CPI,4,12th Pass,"Rs 45,54,459 ~ 45 Lacs+",Rs 0 ~
70,Abdul Asif,KOTA,IND,0,10th Pass,,
71,Abdul Azim Abdul Aziz Shaikh,AURANGABAD,IND,0,10th Pass,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
72,Abdul Bari,BIJNOR,Jai Samta Party,1,Doctorate,"Rs 50,63,000 ~ 50 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
73,Abdul Basit,SOUTH DELHI,BSP,0,Graduate,"Rs 1,81,68,589 ~ 1 Crore+",Rs 0 ~
74,Abdul Basit Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 13,35,000 ~ 13 Lacs+",Rs 0 ~
75,Abdul Goffar Talukdar,KARIMGANJ,IND,0,12th Pass,,
76,Abdul Hafeez Abdul Haque,DHULE,IND,0,12th Pass,"Rs 3,01,000 ~ 3 Lacs+",Rs 0 ~
77,Abdul Hamed,DARRANG-UDALGURI,Rashtriya Ulama Council,0,12th Pass,"Rs 2,58,00,000 ~ 2 Crore+","Rs 4,45,000 ~ 4 Lacs+"
78,Abdul Hameed,KARIMGANJ,IND,0,12th Pass,"Rs 44,32,000 ~ 44 Lacs+","Rs 25,000 ~ 25 Thou+"
79,Abdul Hoque,KAZIRANGA,IND,0,12th Pass,"Rs 2,01,30,389 ~ 2 Crore+","Rs 50,54,285 ~ 50 Lacs+"
80,Abdul Imran,BIRBHUM,IND,0,12th Pass,,
81,Abdul Jabbar,VIDISHA,IND,0,5th Pass,"Rs 1,77,000 ~ 1 Lacs+",Rs 0 ~
82,Abdul Kalam Mazumder,KARIMGANJ,IND,3,8th Pass,"Rs 60,47,515 ~ 60 Lacs+",Rs 0 ~
